nucleus_area,cytoplasm_area,nc_ratio,nc_ratio_log1p,staining_intensity,granularity,roundness,mean_r,mean_g,mean_b,path,label,class
0.0,0.7305908203125,0.0,0.0,0.27600049785539216,0.010024761136621237,0.0,0.6987117991727941,0.6330583160998775,0.840228391161152,F:\BUET plasma\PCMMD_LOCAL\set1\non_plasma\1692243677854_p_1.jpg,0,non_plasma
0.0,0.79205322265625,0.0,0.0,0.2865725049785539,0.005381806399673224,0.0,0.6984714882046569,0.6092926623774509,0.8325183344822303,F:\BUET plasma\PCMMD_LOCAL\set1\non_plasma\1692243677854_p_2.jpg,0,non_plasma
0.0,0.3580322265625,0.0,0.0,0.19099847132863568,0.015678539499640466,0.0,0.8072796989889706,0.765625,0.8540998870251225,F:\BUET plasma\PCMMD_LOCAL\set1\non_plasma\1692243677862_p_3.jpg,0,non_plasma
0.0,0.68414306640625,0.0,0.0,0.23649407679738566,0.014264339204877616,0.0,0.7674826229319853,0.7068830901501225,0.8161520565257353,F:\BUET plasma\PCMMD_LOCAL\set1\non_plasma\1692243677869_p_0.jpg,0,non_plasma
0.0,0.6790771484375,0.0,0.0,0.27067288666768785,0.005682074293494224,0.0,0.7503238453584559,0.6372948740042892,0.8003626206341912,F:\BUET plasma\PCMMD_LOCAL\set1\non_plasma\1692243677878_p_3.jpg,0,non_plasma
0.0,0.7735595703125,0.0,0.0,0.26066407845690354,0.006429474379867316,0.0,0.7386323816636029,0.6448579676011029,0.8345174153645833,F:\BUET plasma\PCMMD_LOCAL\set1\non_plasma\1692243677878_p_4.jpg,0,non_plasma
0.0,0.67974853515625,0.0,0.0,0.2533217486213235,0.006658309698104858,0.0,0.7619375191482843,0.6772556678921569,0.8008415670955882,F:\BUET plasma\PCMMD_LOCAL\set1\non_plasma\1692243677878_p_5.jpg,0,non_plasma
0.0,0.57550048828125,0.0,0.0,0.23167493234272885,0.0085545795224607,0.0,0.7735581341911765,0.7110018861060049,0.8204151826746323,F:\BUET plasma\PCMMD_LOCAL\set1\non_plasma\1692243677878_p_6.jpg,0,non_plasma
0.0,0.67950439453125,0.0,0.0,0.2166780758527369,0.0071238109916448595,0.0,0.7500868853400735,0.6802025888480392,0.9196762982536765,F:\BUET plasma\PCMMD_LOCAL\set1\non_plasma\1692243677878_p_7.jpg,0,non_plasma
0.0,0.5947265625,0.0,0.0,0.2194739647160947,0.005354984637349844,0.0,0.7795692593443627,0.7010440602022059,0.8609647863051471,F:\BUET plasma\PCMMD_LOCAL\set1\non_plasma\1692243677878_p_8.jpg,0,non_plasma
0.02569580078125,0.5245361328125,0.04898766581335816,0.04782557130247723,0.24270195057189548,0.01064186929166317,0.38704220430496905,0.763559139476103,0.7123252719056372,0.7960097369025735,F:\BUET plasma\PCMMD_LOCAL\set1\non_plasma\1692243677878_p_9.jpg,0,non_plasma
0.0,0.58648681640625,0.0,0.0,0.20718898399203434,0.006609154339879751,0.0,0.7901233149509804,0.7152286305147059,0.8730811025582108,F:\BUET plasma\PCMMD_LOCAL\set1\non_plasma\1692243677886_p_2.jpg,0,non_plasma
0.0,0.56634521484375,0.0,0.0,0.20269727519914216,0.010519951328635216,0.0,0.8027228860294118,0.7383769914215687,0.8508082969515931,F:\BUET plasma\PCMMD_LOCAL\set1\non_plasma\1692243677886_p_3.jpg,0,non_plasma
0.0,0.73138427734375,0.0,0.0,0.2551094005310457,0.008866166815161705,0.0,0.7281175800398284,0.6627257104013481,0.8438285079656863,F:\BUET plasma\PCMMD_LOCAL\set1\non_plasma\1692243677895_p_1.jpg,0,non_plasma
0.0,0.7734375,0.0,0.0,0.2793008642258986,0.008177182730287313,0.0,0.7197224934895833,0.6781142290900736,0.7642606847426471,F:\BUET plasma\PCMMD_LOCAL\set1\non_plasma\1692243677903_p_1.jpg,0,non_plasma
